loc_name,dc_city,division_name,dept_name,family_name,class_name,item,item_desc,av_cost,min_stock,max_stock,in_transit_qty,default_wh,tabc,item_status,rtv_nrtv,stock_on_hand,total_soh,total_value,date,family_name
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Home Needs & Home Upkeep,Cooking Ware,Pressure Cooker,100233111,Prestige  Popular Aluminium Cooker 12 Litre Outer Lid,1807.14,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Cooking Ware
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Breakfast,Jam and Spread,Honey,101858680,Dabur Honey Ashwagandha 250 gm Bottle,121.9143,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Jam and Spread
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Body Care,100143427,Nivea Whitening Body Lotion Cell Repair & Uv Protect 400 ml,313.9915,0,0,0,121,,ACTIVE,NRTV,1,1,313.9915,2023-03-13,Skin Care
SM Vijayawada NBS Ongole,Vijayawada,Others,Non Trading,Marketing,Marketing,102045144,Focus Store 2021.88,0.02,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Marketing
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Beverages,Fruit Juice & Drink,Fruit Drinks,101890898,Baidyanath Giloy Juice 1 ltr Bottle,160.7143,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Fruit Juice & Drink
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Cigarettes-PF,Local Cigarettes,101170526,Gold FlakePremium Mint Switch 10BE12.659 gm Box,18.373,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Cigarettes-PF
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Paper and Tissue-HC,Facial Tissue,100508926,Origami So Soft Wet Wipes Lemon 10 Nos Pouch,28.6017,3,3,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Paper and Tissue-HC
SM Vijayawada NBS Ongole,Vijayawada,Staples,Spices-Dry Fruits & Organics,Spices and Dry Fruits,Spices,102064153,Grocery Farm Green Saunf 50g 50 gm Pouch,12,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Spices and Dry Fruits
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Snack,Potato Chips,101909153,Lays Maxx Sizzling Barbeque 59.4 gm Pack,21.1821,13,13,0,121,,ACTIVE,NRTV,11,11,233.0031,2023-03-13,Snack
SM Vijayawada NBS Ongole,Vijayawada,Staples,Cereals & Pulses,Cereals,Raw & Boiled Rice,101206231,Premium Ponni Boiled Rice 10 kg,396,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Cereals
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Housekeeping,Toilet Cleaner,101056512,Harpic Toilet cleaner 500 ml X 3 Multi Pk Bottle,162.325,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Housekeeping
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Deodorants and Talcs,Men Deodorant,100725463,Park Avenue Pure Col. Perfume Spray Men Fiesta 135 ml Bottle,123.0085,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Deodorants and Talcs
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Confectionery,Candy,100143074,Alpenliebe Creamfills Pouch 152 g,32.0517,,,0,121,,ACTIVE,RTV,0,0,0,2023-03-13,Confectionery
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Vegetables,Freshness Relevant,100138015,BOM-OKRA PREMIUM KG,19.5,,,0,121,,PURCHASE BLOCKED,NRTV,0,0,0,2023-03-13,Vegetables
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Home Needs & Home Upkeep,Kitchen Implement,Kitchen,101084265,More EssentialsCookie Cutter1 nos Blister Pk,50.38,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Kitchen Implement
